구분명,행사명,행사내용,장소명,담당부서명,행사시작일자,행사종료일자,데이터기준일자
기타,4차 산업혁명 캠퍼스 직원특강 실시,직급별 맞춤형 4차 산업혁명 대응능력 배양,영천시립도서관 지산홀,정책기획실,2019-07-16,2019-08-14,2022-11-28
기타,4차 산업혁명 캠퍼스 직원특강 실시,"실무행정 적용 및 응용 사례 설명(매주 화,수요일)",영천시립도서관 지산홀,정책기획실,2019-07-16,2019-08-14,2022-11-28
행사,시니어클럽 일자리참여자 소양교육 실시,2019년 노인일자리 참여자 통합소양교육,시민회관,사회복지과,2019-07-17,2019-07-17,2022-11-28
행사,대한노인회 영천시지회 부설 노인대학 특강,영천시의 인구정책 관련,교육문화센터,사회복지과,2019-07-19,2019-07-19,2022-11-28
행사,문화특화지역 시민설명회,문화특화지역 추진경과 보고 및 사업설명,스타컨벤션웨딩 3층 컨벤션홀,문화예술과,2019-07-19,2019-07-19,2022-11-28
축제,작가와의 만남,김경집의 통찰력 강의,지산홀,평생학습관,2019-07-19,2019-07-19,2022-11-28
축제,전국고등학교검도선수권대회,제22회 대구대학교총장기 전국고등학교검도선수권대회,영천체육관,새마을체육과,2019-07-22,2019-07-24,2022-11-28
축제,전국고등학교검도선수권대회,제22회 대구대학교총장기 전국고등학교검도선수권대회,생활체육관,새마을체육과,2019-07-22,2019-07-24,2022-11-28
행사,2019년 길 위의 인문학(2차),더 질 좋고 더 맛있는 음식을 향유하고자 분투한 역사이야기,문화강의실,평생학습관,2019-07-24,2019-07-27,2022-11-28
행사,2019년 길 위의 인문학(2차),더 질 좋고 더 맛있는 음식을 향유하고자 분투한 역사이야기,고도리와이너리,평생학습관,2019-07-24,2019-07-27,2022-11-28
행사,경북 농아인 배드민턴 동호인 대회,2019 경북 농아인 배드민턴 동호인 대회 개최,영천생활체육관,새마을체육관,2019-07-25,2019-07-25,2022-11-28
기타,시민회관 영화상영,영화 「롱리브더킹」 상영,시민회관 스타홀,문화예술과,2019-07-26,2019-07-27,2022-11-28
행사,2019 영천시 가족봉사단 체험활동,EM흙공던지기,영화교다리밑,새마을체육과,2019-07-27,2019-07-27,2022-11-28
행사,2019 영천시 가족봉사단 체험활동,환경정화활동,영화교다리밑,새마을체육과,2019-07-27,2019-07-27,2022-11-28
행사,2019 영천시 가족봉사단 체험활동,EM흙공던지기,영천목재문화체험장,새마을체육과,2019-07-27,2019-07-27,2022-11-28
행사,2019 영천시 가족봉사단 체험활동,환경정화활동,영천목재문화체험장,새마을체육과,2019-07-27,2019-07-27,2022-11-28
기타,여름방학 독서프로그램,여름방학 독서프로그램,문화강의실,평생학습관,2019-07-26,2019-08-17,2022-11-28
기타,울랄라베베 3기,북스타트 프로그램,체험형동화구연실,평생학습관,2019-07-29,2019-07-29,2022-11-28
기타,시민정보화교육 실시,컴퓨터 기초 및 포토샵,시정보화교육장 등 4개소,홍보전산실,2019-07-29,2019-08-23,2022-11-28
기타,시민정보화교육 실시,엑셀.파워포인트 자격증반,시정보화교육장 등 4개소,홍보전산실,2019-07-29,2019-08-23,2022-11-28
기타,직장맘 자녀 안심케어 지원사업(하계),"직장여성의 초등학생(저학년)자녀 대상 돌봄 지원(교육프로그램, 간식제공)",문내주공,평생학습관,2019-07-29,2019-08-16,2022-11-28
기타,직장맘 자녀 안심케어 지원사업(하계),"직장여성의 초등학생(저학년)자녀 대상 돌봄 지원(교육프로그램, 간식제공)",대동다숲,평생학습관,2019-07-29,2019-08-16,2022-11-28
기타,직장맘 자녀 안심케어 지원사업(하계),"직장여성의 초등학생(저학년)자녀 대상 돌봄 지원(교육프로그램, 간식제공)",미소지움1차,평생학습관,2019-07-29,2019-08-16,2022-11-28
행사,영천인재양성원 명문대 학교 탐방,명문대 견학을 통한 학생 동기 부여,고려대학교,인구교육과,2019-08-01,2019-08-01,2022-11-28
행사,영천인재양성원 명문대 학교 탐방,명문대 견학을 통한 학생 동기 부여,성균관대학교,인구교육과,2019-08-01,2019-08-01,2022-11-28
축제,여름방학 영화상영,「명탐정 코난」,지산홀,평생학습관,2019-08-02,2019-08-02,2022-11-28
