이름,주소,위도,경도,읍면동,테마
「아쿠아맨」영화상영,시민회관 스타홀,,,,행사/축제
자치경찰제 정책토론회,상공회의소,,,,행사/축제
영천시니어클럽 개소식,영천시니어클럽,,,,행사/축제
농민회 영천시연합회 연시총회 및 이·취임식,농업기술센터 3층 생활과학관,,,,행사/축제
화산면 부계리 마을회관 준공식,화산면 부계리 206,,,화산면,행사/축제
6.25참전유공자회 정기총회,SD컨벤션웨딩홀 2층,,,,행사/축제
아이돌보미 양성과정교육 운영,교육문화센터 강의실,,,,행사/축제
이만희 국회의원 의정보고회,시민회관 스타홀,,,,행사/축제
다문화가족 한국어교육 및 방문교육 오리엔테이션,다문화센터 강의실,,,,행사/축제
영천시친환경농업인연합회 총회,영천시 농업기술센터 3층 생활과학관,,,,행사/축제
영천스타라이온스클럽 무료급식 지원,영천시장애인종합복지관 1층 식당,,,,행사/축제
영천인재양성원 2019년 개강식,영천시립도서관 1층 지산홀,,,,행사/축제
시문학 특강 개최,교육문화센터 회의실,,,,행사/축제
영농 4-H회 정기총회 및 회장 이취임식,와인학교 2층,,,,행사/축제
월남참전유공자회 정기총회,스타컨벤션웨딩 3층,,,,행사/축제
박약회 영천지회 총회,영천향교 국학학원,,,,행사/축제
고품질 마늘재배기술 컨설팅 교육,금호농협 청통지점 회의실,,,,행사/축제
2019년 자연유산 민속행사,화북면 자천리 오리장림,,,화북면,행사/축제
새영천 알림이단 발대식,시청 영상회의실,,,,행사/축제
제51차 영천문화원 정기총회,영천문화원 대강당,,,,행사/축제
포은선생숭모사업회 정기총회 개최,임고서원 포은연수관 대강당,,,,행사/축제
제100주년 3·1절 기념행사,시민회관,,,,행사/축제
『영천의 독립운동사 100주년 기념 특별기획 전시』,시민회관 1층,,,,행사/축제
『영천의 독립운동사 100주년 기념 특별기획 전시』,시민회관 2층,,,,행사/축제
아트앤하트 행복전,영천예술창작스튜디오 1 전시실,,,,행사/축제
아트앤하트 행복전,영천예술창작스튜디오 2 전시실,,,,행사/축제
청소년방과후아카데미 개소,청소년문화의집 2층,,,,행사/축제
영천시 행정동우회 2019년 정기총회,영천시보건소 대강당(건강교육관 3층),,,,행사/축제
영천시장애인회관 준공식,천문로 210-7 (구 남부동주민센터),,,남부동,행사/축제
영천시자연보호협의회 3월 정례회,다나눔센터 2층 자연보호 사무실,,,,행사/축제
영천시지역사회보장 협의체 정기 총회,시청 대회의실,,,,행사/축제
노인대학 입학식,교육문화센터 우석홀,,,,행사/축제
말모이 영화상영,시민회관 스타홀,,,,행사/축제
제19회 클럽대항 볼링대회,효성볼링장,,,,행사/축제
영천향교 석전대제,영천향교 대성전,,,,행사/축제
2019년 신기술보급 시범사업 설명회,생활과학관,,,,행사/축제
영천시농업대학 포도과정 입학식,농업기술센터 3층 생활과학관,,,,행사/축제
따숨가게 현판 전달식,금호읍행정복지센터 대회의실(2층),,,금호읍,행사/축제
2019년 장학증서 전달식,시립도서관 지산홀,,,,행사/축제
2019 전국종별태권도 선수권대회,영천체육관,,,,행사/축제
장애인종합복지관 15주년 개관기념행사,장애인종합복지관 강당,,,,행사/축제
영천로타리클럽창립50주년 기념행사,시민회관 스타홀,,,,행사/축제
귀농연합회 우리고장알기 교육,은해사,,,,행사/축제
4차 산업혁명 토크콘서트,시민회관,,,,행사/축제
여성단체협의회장 이취임식 개최,영천시새마을회관 3층 대강당,,,,행사/축제
샤인머스켓 재배 교육,교육문화센터,,,,행사/축제
영천스타라이온스가 지원하는 무료급식,장애인종합복지관 1층 식당,,,,행사/축제
임고서원 춘향제,임고서원,,,,행사/축제
대한노인회 영천시지회 정기총회,시민회관,,,,행사/축제
가족봉사단 발대식,자원봉사센터 교육실,,,,행사/축제
「극한직업 」영화 상영,시민회관 스타홀,,,,행사/축제
우리마을 건강파트너(건강 파발꾼) 발대식,건강교육관,,,,행사/축제
민방위 교육 실시,청소년수련관,,,,행사/축제
경상북도 평생교육자 정기연수,시민회관 스타홀,,,,행사/축제
예술창작스튜디오 단기 입주작가 전시회,영천예술창작스튜디오 1전시실,,,,행사/축제
봄철 나무심기행사,영천시 화산면 암기리 산100번지 외 1필지,,,화산면,행사/축제
영천 별빛야시장 개장식,영천공설시장 1층 중앙통로,,,,행사/축제
경북소년체육대회(유도),영천체육관,,,,행사/축제
영천한의마을 개관,영천한의마을,,,,행사/축제
조선통신사 옛길 서울-동경 한·일 우정걷기,경복궁,,,,행사/축제
